,mean_conf,min_conf,std_conf,words_count,char_count,num_text_lines,num_text_blocks,low_conf_ratio,text_density,handwriting_ocr,detected_lang_conf,text_area,mean_orientation,relative_label_centroid_x,relative_label_centroid_y,resolution,laplacian,contrast,brightness,noise,noise_sigma,background_uniformity,overlapped_label_area,detected_lang_encoded
../../data/sample_images_stratified_after_filter/B100000390.jpg,0.4232157979784447,0.0,0.6282599400636191,0.2541176470588235,0.1629567408651827,0.3793103448275862,0.56,0.6944444444444444,0.950024950656949,1.0,0.012764073433945717,0.4344995977747312,0.3515474707083176,0.4982442391998967,0.6166564605021432,0.02097064110245661,0.09880039125421505,0.4529143274315667,0.4690810270876924,0.30545038473280084,0.20867791700785085,0.5073567473277921,0.0,0.19230769230769232
../../data/sample_images_stratified_after_filter/B100001491.jpg,0.6791365611484235,0.14599562642673813,0.6260080182940239,0.04941176470588235,0.0377992440151197,0.15517241379310345,0.16,0.3333333333333333,0.4082639603919318,0.0,0.0,0.18101128496810523,0.37239481834152194,0.4718398815256427,0.8940600122473974,0.0011983223487118666,0.130883281398444,0.41726411056975143,0.6973041725977609,0.35294285881507176,0.2212034113090668,0.5345040645037126,0.0,1.0
../../data/sample_images_stratified_after_filter/B100001493.jpg,0.5869246448867168,0.0320752059779323,0.653230542533487,0.047058823529411764,0.0377992440151197,0.15517241379310345,0.2,0.55,0.4615374464692054,0.0,0.009745980897726644,0.204239794241947,0.4576451527708023,0.4975326121321255,0.7213717085119411,0.0,0.09079001960678404,0.16908291997312927,0.7994410474606637,0.2663977739135665,0.19615242270662528,0.43811740842947233,0.0002155429748359315,0.23076923076923078
../../data/sample_images_stratified_after_filter/B100001916.jpg,0.7523028984623109,0.30785585350191225,0.4202698074639414,0.06352941176470588,0.05375892482150357,0.25862068965517243,0.44,0.14814814814814814,0.23712584274725687,0.0,0.0,0.10583764828516072,0.2914607034265246,0.48805303674786416,0.7636252296387018,0.005392450569203233,0.019384283226993253,0.27767672042637725,0.6548175772140103,0.18922673565603793,1.0325257379138493e-30,0.09189163385252144,0.0,1.0
../../data/sample_images_stratified_after_filter/B100002521.jpg,0.7829283304682781,0.0,0.5710638931265192,0.2541176470588235,0.20957580848383034,0.43103448275862066,0.48,0.2037037037037037,0.397333933412422,0.0,0.2389967497769145,0.1788599462944289,0.28505896001413167,0.4997016675166598,0.728720146968769,0.010784901138406244,0.4485440753409339,0.6463166285292493,0.6388529137302905,0.23331831876044995,0.18698312448823504,0.5018217148919761,0.23187555363753692,0.23076923076923078
../../data/sample_images_stratified_after_filter/B100002801.jpg,0.6628359083299017,0.0,0.6653929675958549,0.10117647058823528,0.0768584628307434,0.1896551724137931,0.24,0.37209302325581395,0.2275611568778965,0.0,0.02552812521690331,0.10272606759650574,0.38572937798304346,0.5054634118198034,0.7917942437232086,0.012582384661473989,0.08149478318745979,0.388410653779549,0.6324143513615419,0.2682830949500425,0.09349156224412183,0.4754939301931893,0.0,0.576923076923077
../../data/sample_images_stratified_after_filter/B100002884.jpg,0.7303003926695039,0.0,0.648960404438637,0.24941176470588233,0.23015539689206216,0.3275862068965517,0.36,0.2641509433962264,0.36852758806390473,0.0,0.209066899749127,0.16683001167019793,0.24511085295757168,0.48243452437123735,0.751377832210655,0.014379868184541733,0.46868874463898835,0.37538874346091633,0.8729059494068925,0.20586764399350582,0.19950861878943718,0.4087943253032832,0.4497794815230564,0.23076923076923078
../../data/sample_images_stratified_after_filter/B100003200.jpg,0.7493950068788662,0.0,0.5761906185785207,0.16705882352941176,0.14909701805963882,0.3275862068965517,0.64,0.23943661971830985,0.4700560630535397,0.0,0.0867076296289179,0.218370081238174,0.4206796604239267,0.5087420370390623,0.7030006123698713,0.031156381066506977,0.28258655705881097,0.955876142388496,0.023391595415892752,0.6260685129554501,0.311338777470368,0.827205022968029,0.0,0.23076923076923078
../../data/sample_images_stratified_after_filter/B100003483.jpg,0.9317315187668339,0.36262125214032853,0.3013052040575184,0.14352941176470588,0.13313733725325494,0.25862068965517243,0.28,0.04918032786885246,0.21808324516978164,0.0,0.1421656948586044,0.09946436057512548,0.1999193412582255,0.3205570449211198,0.8646662584200857,0.019173157579388866,0.17383188389271956,0.6415365981497986,0.65744436348115,0.35755583078836256,5.636751238273809e-15,0.30354612585682117,0.0,0.23076923076923078
../../data/sample_images_stratified_after_filter/B100005500.jpg,0.7051299720268805,0.0,0.612356461897818,0.10588235294117646,0.0873582528349433,0.1896551724137931,0.2,0.26666666666666666,0.2480619669068001,0.0,0.08337528558521452,0.11313718714238774,0.3430840893962057,0.50110066792267,0.6852418860992038,0.019173157579388866,0.10220205780710287,0.08991109710438203,0.9624348092267003,0.02776570576315525,3.7578341588492056e-15,0.20692493807791815,0.0,0.23076923076923078
